raw_name	guessed_name	confidence	category	unit	price	discount	sku	store	date
Ofood갈비맛만두6 D/C - Ofood갈비맛만두630g	Ofood Pork Flavor Dumplings 630g	0.9500	Frozen	ea	8.49	9.01		FRESH ASIANA	2026-01-03
당근 carrot + 0.330kg NET @ $1.79/kg	Carrot 330g	0.9900	Produce	kg	0.59	0.00		FRESH ASIANA	2026-01-03
미니배추Mini Wom	Mini Cabbage	0.9000	Produce	ea	4.99	0.00		FRESH ASIANA	2026-01-03
Fresh Corn목수수 D/C - Fresh Corn목수수	Fresh Corn	0.9500	Produce	ea	2.20	0.40		FRESH ASIANA	2026-01-03
한국배Korean pea	Korean Pea	0.9000	Produce	ea	6.50	0.00		FRESH ASIANA	2026-01-03
Japanese Pumpkin	Japanese Pumpkin	0.9500	Produce	ea	2.99	0.00		FRESH ASIANA	2026-01-03
Baby corn 115g	Baby Corn 115g	0.9900	Produce	g	3.19	0.00		FRESH ASIANA	2026-01-03
+노리타마우리카	Nori Tamagoyaki (Seaweed Rolled Omelette)	0.8500	Other	ea	3.10	0.00		FRESH ASIANA	2026-01-03
빨강감자Potatoes + 0.420kg NET @ $4.99/kg	Red Potatoes 420g	0.9500	Produce	kg	2.10	0.00		FRESH ASIANA	2026-01-03
주끼니호박,Zucch + 0.455kg NET @ $3.90/kg	Zucchini 455g	0.9000	Produce	kg	1.77	0.00		FRESH ASIANA	2026-01-03
보라 알파,Purple + 0.170kg NET @ $4.70/kg	Purple Alfalfa 170g	0.8000	Produce	kg	0.80	0.00		FRESH ASIANA	2026-01-03
Tasmania Onion 7 + 0.300kg NET @ $7.80/kg	Tasmania Onion 300g	0.9500	Produce	kg	2.34	0.00		FRESH ASIANA	2026-01-03
H.K Choysam 홍콩	Hong Kong Choi Sum	0.8500	Produce	ea	2.58	0.00		FRESH ASIANA	2026-01-03
몽조이ONG Choy(k)	Bok Choy	0.9000	Produce	ea	1.59	0.00		FRESH ASIANA	2026-01-03
잎조이 En Choy	Yin Choy	0.8000	Produce	ea	1.59	0.00		FRESH ASIANA	2026-01-03
