raw_name	guessed_name	confidence	category	unit	price	discount	sku	store	date
Peach White Flesh	Peach White Flesh	0.9500	Produce	kg	1.94	0.00		Woolworths	2026-01-03
Tomato Truss	Tomato Truss	0.9500	Produce	kg	2.80	0.00		Woolworths	2026-01-03
Broccoli	Broccoli	0.9500	Produce	kg	2.43	0.00		Woolworths	2026-01-03
Banana Cavendish	Banana Cavendish	0.9500	Produce	kg	1.47	0.00		Woolworths	2026-01-03
Pauls Milk Zymil Lact Free L/life 1l	Pauls Zymil Lactose Free UHT Milk 1L	0.9000	Dairy	ea	9.00	0.00		Woolworths	2026-01-03
Pauls Zymil Full Cream Uht Milk 1l	Pauls Zymil Full Cream UHT Milk 1L	0.9500	Dairy	ea	6.00	0.00		Woolworths	2026-01-03
Swisse Ultiboost Daily Immune Spprt 60pk	Swisse Ultiboost Daily Immune Support 60 Pack	0.9000	Health	ea	29.25	0.00		Woolworths	2026-01-03
Pauls Zymil Skim UHT Milk 1L	Pauls Zymil Skim UHT Milk 1L	0.9500	Dairy	ea	9.00	4.00		Woolworths	2026-01-03
Macro Organic Rolled Oats 500g	Macro Organic Rolled Oats 500g	0.9500	Pantry	ea	9.00	0.00		Woolworths	2026-01-03
Pauls Zymil Lactose Free UHT 250mLx3pack	Pauls Zymil Lactose Free UHT Milk 250mL x3 Pack	0.9000	Dairy	ea	3.20	0.00		Woolworths	2026-01-03
Macro Organic Pumpkin Kernels 250g	Macro Organic Pumpkin Kernels 250g	0.9500	Pantry	ea	10.00	0.00		Woolworths	2026-01-03
Macro Organic Wholemeal Spirals 500g	Macro Organic Wholemeal Spirals 500g	0.9500	Pantry	ea	1.95	0.00		Woolworths	2026-01-03
Hikari Instant Miso Soup Wakame 12x18g	Hikari Instant Miso Soup with Wakame 12 x 18g	0.9000	Pantry	ea	8.40	0.00		Woolworths	2026-01-03
Mama Jumbo Noodles Shrimp Tom Yum 90g	Mama Jumbo Noodles Shrimp Tom Yum 90g	0.9500	Pantry	ea	1.75	0.00		Woolworths	2026-01-03
Blueberry 170g	Blueberries 170g	0.9000	Produce	ea	3.00	0.00		Woolworths	2026-01-03
Macro Large Org FR Eggs 12pk 600g	Macro Large Organic Free Range Eggs 12 Pack 600g	0.8500	Produce	ea	10.60	0.00		Woolworths	2026-01-03
Berry Strawberry 250g P/P	Strawberries 250g Pre-Packaged	0.8500	Produce	ea	2.50	0.00		Woolworths	2026-01-03
Macro FR Chckn Bulk Drumsticks Rw	Macro Free Range Chicken Bulk Drumsticks Raw	0.8000	Meat	ea	5.62	0.00		Woolworths	2026-01-03
